0.048221912719122066@Electronic	camera
0.04329283215504267@Electronic	laptop
0.042673096930861076@Electronic	cable
0.03279463470692578@Electronic	usb
0.03257564591756103@Electronic	computer
0.029217323357857403@Electronic	book
0.024344598573587502@Electronic	screen
0.02284434347460211@Electronic	works
0.022357922998682212@Electronic	tv
0.021763594176080318@Electronic	sound
0.02121445431684711@Electronic	ipod
0.02098259691318746@Electronic	ipad
0.020968089156933833@Electronic	speakers
0.020545832242985475@Electronic	hdmi
0.02046728815455001@Electronic	device
0.020102889005190666@Electronic	keyboard
0.019955049886042964@Electronic	gb
0.019558887519041817@Electronic	adapter
0.018985402108139617@Electronic	headphones
0.018460760615938234@Electronic	battery
0.017526462812070855@Electronic	plug
0.016529762561541077@Electronic	wireless
0.01651607791950939@Electronic	drive
0.016199835969072804@Electronic	tablet
0.015896781986018963@Electronic	card
0.015489900892101638@Electronic	hd
0.015450317142443116@Electronic	pc
0.015245773499857125@Electronic	cables
0.01511072332030597@Electronic	sony
0.014387568152442498@Electronic	lens
0.014223914406466132@Electronic	plugged
0.01347936415176639@Electronic	port
0.01324188367972585@Electronic	software
0.012901703015945036@Electronic	router
0.012822191861271844@Electronic	windows
0.012605242179911696@Electronic	remote
0.012512775978250715@Electronic	price
0.012242727362008488@Electronic	unit
0.01112992277882865@Electronic	signal
0.011090587948335803@Electronic	canon
0.011065793199109008@Electronic	external
0.010991797674192262@Electronic	player
0.01092932038864424@Electronic	speaker
0.010866850458760676@Electronic	setup
0.010829405705965977@Electronic	mouse
0.010712379511672239@Electronic	story
0.010445803854398939@Electronic	read
0.010339991624190822@Electronic	sd
0.01028835158826005@Electronic	audio
0.010231104112103661@Electronic	cord
0.010141792422757498@Electronic	nikon
0.00971915486249907@Electronic	apple
0.00947749422716044@Electronic	quality
0.009460128864798937@Electronic	devices
0.009422508963400805@Electronic	case
0.009235675521032034@Electronic	lcd
0.008906384266129408@Electronic	cameras
0.008700870799180692@Electronic	desktop
0.00848868530146184@Electronic	receiver
0.008390947680178876@Electronic	charger
0.008312977499019592@Electronic	product
0.008154364344962277@Electronic	video
0.008084722322009422@Electronic	mac
0.008073350071513304@Electronic	gps
0.00799321592506055@Electronic	logitech
0.007919702081278766@Electronic	antenna
0.007776036685691118@Electronic	mp
0.0076977568766077396@Electronic	ports
0.007476378792338217@Electronic	installed
0.007241102544318237@Electronic	charge
0.007236151703848567@Electronic	worked
0.007066781748904158@Electronic	flash
0.007047593606141833@Electronic	macbook
0.006945872129840465@Electronic	asus
0.006930975592686896@Electronic	zoom
0.00692638388925593@Electronic	connect
0.0068736368543177275@Electronic	power
0.006845598216021379@Electronic	portable
0.006807333545910261@Electronic	files
0.006761455506155054@Electronic	monitor
0.006630257324977857@Electronic	bluetooth
0.006540270777781147@Electronic	dell
0.00651011864613041@Electronic	mode
0.006429543412831069@Electronic	connected
0.006333359528864084@Electronic	mount
0.006314705188641519@Electronic	ear
0.006289263684235427@Electronic	system
0.006225744239430465@Electronic	install
0.006206314115135106@Electronic	earbuds
0.006179556366695742@Electronic	upgrade
0.006079385001860803@Electronic	bass
0.006064420319260739@Electronic	toshiba
0.006037696610967106@Electronic	drives
0.006023391261266851@Electronic	memory
0.006019548641261332@Electronic	headphone
0.005986887655581934@Electronic	books
0.005842072817821735@Electronic	samsung
0.005834248234039771@Electronic	hdtv
0.005811745582250654@Electronic	gaming
0.005776179926767361@Electronic	characters
0.005720067393615353@Electronic	firmware
0.005701926001706776@Electronic	speed
0.005701070768631564@Electronic	garmin
0.005441150585403625@Electronic	netflix
0.005398323279775159@Electronic	tripod
0.005166496106722583@Electronic	panasonic
0.005138115466040636@Electronic	charging
0.0051293945024205815@Electronic	streaming
