0.27423516@Movies_and_TV	movie
0.12694561@Movies_and_TV	film
0.06813165@Movies_and_TV	movies
0.056453213@Movies_and_TV	acting
0.053924292@Movies_and_TV	watch
0.04505134@Movies_and_TV	films
0.043593507@Movies_and_TV	actors
0.04145944@Movies_and_TV	watching
0.03794147@Movies_and_TV	watched
0.027507223@Movies_and_TV	episodes
0.025971916@Movies_and_TV	season
0.023608055@Movies_and_TV	show
0.022730859@Movies_and_TV	cast
0.020876192@Movies_and_TV	director
0.020844242@Movies_and_TV	episode
0.019806731@Movies_and_TV	comedy
0.017409723@Movies_and_TV	actor
0.016328583@Movies_and_TV	scenes
0.012842648@Movies_and_TV	seasons
0.012795465@Movies_and_TV	video
0.012728724@Movies_and_TV	script
0.012339696@Movies_and_TV	interesting
0.011996943@Movies_and_TV	book
0.011636711@Movies_and_TV	documentary
0.011468696@Movies_and_TV	viewer
0.011442919@Movies_and_TV	scene
0.011414347@Movies_and_TV	funny
0.011399797@Movies_and_TV	flick
0.011284403@Movies_and_TV	dvds
0.011181387@Movies_and_TV	blu
0.01102312@Movies_and_TV	vhs
0.010548882@Movies_and_TV	life
0.010411987@Movies_and_TV	history
0.010325488@Movies_and_TV	cinematography
0.010203906@Movies_and_TV	performances
0.010165232@Movies_and_TV	love
0.009779557@Movies_and_TV	filmed
0.009714502@Movies_and_TV	ray
0.009254268@Movies_and_TV	animation
0.009071527@Movies_and_TV	world
0.008915013@Movies_and_TV	role
0.008826152@Movies_and_TV	effects
0.008782215@Movies_and_TV	viewers
0.0085751405@Movies_and_TV	subtitles
0.008464888@Movies_and_TV	extras
0.008078486@Movies_and_TV	great
0.007892117@Movies_and_TV	film's
0.007891804@Movies_and_TV	action
0.007826828@Movies_and_TV	footage
0.0075328946@Movies_and_TV	hollywood
0.007528739@Movies_and_TV	tv
0.0073506897@Movies_and_TV	end
0.007303975@Movies_and_TV	actress
0.0071333405@Movies_and_TV	classic
0.006769031@Movies_and_TV	special
0.006713558@Movies_and_TV	horror
0.006212788@Movies_and_TV	read
0.0061917305@Movies_and_TV	real
0.0061357184@Movies_and_TV	writers
0.00582597@Movies_and_TV	plot
0.005775388@Movies_and_TV	acted
0.0055757766@Movies_and_TV	oscar
0.0055602146@Movies_and_TV	anime
0.005525409@Movies_and_TV	roles
0.005515445@Movies_and_TV	viewing
0.005504323@Movies_and_TV	production
0.005315204@Movies_and_TV	performance
0.005268572@Movies_and_TV	cinema
0.0052645663@Movies_and_TV	series
0.0052159945@Movies_and_TV	tom
0.0051835836@Movies_and_TV	animated
0.0051427856@Movies_and_TV	bad
0.0050885@Movies_and_TV	shows
0.0050298725@Movies_and_TV	rent
0.005026136@Movies_and_TV	plays
0.004934954@Movies_and_TV	cgi
0.0049130716@Movies_and_TV	directed
0.004907273@Movies_and_TV	nudity
0.0047897506@Movies_and_TV	stories
0.0047115376@Movies_and_TV	character
0.0046880567@Movies_and_TV	guy
0.0045742644@Movies_and_TV	television
0.004392819@Movies_and_TV	theatrical
0.0043356097@Movies_and_TV	drama
0.0043230276@Movies_and_TV	scenery
0.0041540917@Movies_and_TV	women
0.004120449@Movies_and_TV	buy
0.0041181445@Movies_and_TV	widescreen
0.0040987935@Movies_and_TV	movie's
0.0040622065@Movies_and_TV	entertainment
0.004035031@Movies_and_TV	disc
0.0039988346@Movies_and_TV	played
0.003994585@Movies_and_TV	directing
0.0039735013@Movies_and_TV	workout
0.003972513@Movies_and_TV	sequences
0.0039603114@Movies_and_TV	language
0.0039494415@Movies_and_TV	comedies
0.0039468263@Movies_and_TV	theaters
0.0039367527@Movies_and_TV	story
0.0039320583@Movies_and_TV	costumes
0.0038882424@Movies_and_TV	hilarious
