0.026088709@Patio_Lawn_and_Garde	grill
0.020363526@Patio_Lawn_and_Garde	mower
0.01602439@Patio_Lawn_and_Garde	plants
0.0132500995@Patio_Lawn_and_Garde	lawn
0.012026514@Patio_Lawn_and_Garde	feeder
0.0118927695@Patio_Lawn_and_Garde	yard
0.010663118@Patio_Lawn_and_Garde	hose
0.010045615@Patio_Lawn_and_Garde	pool
0.009860894@Patio_Lawn_and_Garde	seeds
0.008787278@Patio_Lawn_and_Garde	garden
0.007880634@Patio_Lawn_and_Garde	weber
0.0076251826@Patio_Lawn_and_Garde	patio
0.007624896@Patio_Lawn_and_Garde	plant
0.0073886006@Patio_Lawn_and_Garde	grass
0.006933771@Patio_Lawn_and_Garde	soil
0.0066517657@Patio_Lawn_and_Garde	squirrels
0.006439465@Patio_Lawn_and_Garde	gas
0.006169218@Patio_Lawn_and_Garde	blower
0.005830839@Patio_Lawn_and_Garde	feeders
0.0056117843@Patio_Lawn_and_Garde	planted
0.0054031573@Patio_Lawn_and_Garde	trimmer
0.0053413613@Patio_Lawn_and_Garde	weeds
0.0052613467@Patio_Lawn_and_Garde	traps
0.0050087497@Patio_Lawn_and_Garde	seed
0.004882543@Patio_Lawn_and_Garde	sprinkler
0.004648819@Patio_Lawn_and_Garde	smoker
0.0045784167@Patio_Lawn_and_Garde	trap
0.004379555@Patio_Lawn_and_Garde	watering
0.0038011358@Patio_Lawn_and_Garde	birds
0.0035591545@Patio_Lawn_and_Garde	book
0.0033959798@Patio_Lawn_and_Garde	weed
0.0032282094@Patio_Lawn_and_Garde	grills
0.0032131867@Patio_Lawn_and_Garde	mow
0.0031757841@Patio_Lawn_and_Garde	germinated
0.0031666711@Patio_Lawn_and_Garde	grilling
0.0031076493@Patio_Lawn_and_Garde	mulch
0.0030746046@Patio_Lawn_and_Garde	germination
0.002988591@Patio_Lawn_and_Garde	propane
0.0029556546@Patio_Lawn_and_Garde	shovel
0.0028668516@Patio_Lawn_and_Garde	seedlings
0.0028540068@Patio_Lawn_and_Garde	mowers
0.0028154093@Patio_Lawn_and_Garde	hoses
0.002807148@Patio_Lawn_and_Garde	planter
0.0027849223@Patio_Lawn_and_Garde	deck
0.0027640262@Patio_Lawn_and_Garde	mowing
0.00275037@Patio_Lawn_and_Garde	mulching
0.0027147792@Patio_Lawn_and_Garde	charcoal
0.0026537045@Patio_Lawn_and_Garde	toro
0.0026504626@Patio_Lawn_and_Garde	sprouted
0.0026317227@Patio_Lawn_and_Garde	bbq
0.0026034878@Patio_Lawn_and_Garde	fiskars
0.0025926922@Patio_Lawn_and_Garde	water
0.0025885378@Patio_Lawn_and_Garde	hummingbirds
0.0025691835@Patio_Lawn_and_Garde	intex
0.0025132156@Patio_Lawn_and_Garde	edger
0.0025057066@Patio_Lawn_and_Garde	fertilizer
0.002445976@Patio_Lawn_and_Garde	poulan
0.0022543028@Patio_Lawn_and_Garde	germinate
0.0022090536@Patio_Lawn_and_Garde	acre
0.0021382438@Patio_Lawn_and_Garde	generator
0.0021012023@Patio_Lawn_and_Garde	husqvarna
0.0020796922@Patio_Lawn_and_Garde	bait
0.0020623775@Patio_Lawn_and_Garde	planting
0.0020620094@Patio_Lawn_and_Garde	trees
0.0020564778@Patio_Lawn_and_Garde	zapper
0.0020353415@Patio_Lawn_and_Garde	branches
0.0020187653@Patio_Lawn_and_Garde	tiller
0.0020046995@Patio_Lawn_and_Garde	potting
0.0019991782@Patio_Lawn_and_Garde	sprayer
0.0019914343@Patio_Lawn_and_Garde	driveway
0.0019723177@Patio_Lawn_and_Garde	ants
0.0019125447@Patio_Lawn_and_Garde	hummingbird
0.001903235@Patio_Lawn_and_Garde	product
0.0019010797@Patio_Lawn_and_Garde	mice
0.0018550056@Patio_Lawn_and_Garde	hammock
0.0018251836@Patio_Lawn_and_Garde	roaches
0.0018027424@Patio_Lawn_and_Garde	nozzle
0.0017516819@Patio_Lawn_and_Garde	assemble
0.0017438674@Patio_Lawn_and_Garde	sprinklers
0.0017178677@Patio_Lawn_and_Garde	grates
0.0017012317@Patio_Lawn_and_Garde	worx
0.0017001191@Patio_Lawn_and_Garde	skimmer
0.0016619493@Patio_Lawn_and_Garde	pruner
0.001630471@Patio_Lawn_and_Garde	squirrel
0.0016176313@Patio_Lawn_and_Garde	bird
0.0016003759@Patio_Lawn_and_Garde	chairs
0.0015646578@Patio_Lawn_and_Garde	hummers
0.0015620699@Patio_Lawn_and_Garde	umbrella
0.0015195713@Patio_Lawn_and_Garde	read
0.0014930839@Patio_Lawn_and_Garde	assembly
0.0014678278@Patio_Lawn_and_Garde	pruners
0.0014588599@Patio_Lawn_and_Garde	compost
0.0014576054@Patio_Lawn_and_Garde	ground
0.001455736@Patio_Lawn_and_Garde	bugs
0.0014416898@Patio_Lawn_and_Garde	bushes
0.0014302189@Patio_Lawn_and_Garde	coals
0.0014110482@Patio_Lawn_and_Garde	greenworks
0.0013270014@Patio_Lawn_and_Garde	stihl
