0.3135988116519@CDs_and_Vinyl	album
0.2557465635308781@CDs_and_Vinyl	cd
0.19954634610572142@CDs_and_Vinyl	songs
0.16582895057594674@CDs_and_Vinyl	music
0.12070361320105089@CDs_and_Vinyl	song
0.08544144402813729@CDs_and_Vinyl	albums
0.0823481633435324@CDs_and_Vinyl	tracks
0.07429550560883938@CDs_and_Vinyl	lyrics
0.0715898212666433@CDs_and_Vinyl	listen
0.06071219566075983@CDs_and_Vinyl	vocals
0.059531916371924946@CDs_and_Vinyl	rock
0.058172469810044806@CDs_and_Vinyl	track
0.05677374635619826@CDs_and_Vinyl	band
0.045664553793411625@CDs_and_Vinyl	listening
0.0449429800817818@CDs_and_Vinyl	guitar
0.04476204366272856@CDs_and_Vinyl	heard
0.03695010330134031@CDs_and_Vinyl	recording
0.03687919364426399@CDs_and_Vinyl	sound
0.03379881413813947@CDs_and_Vinyl	voice
0.029898952828906318@CDs_and_Vinyl	quot
0.029613699770648188@CDs_and_Vinyl	record
0.028855528742343716@CDs_and_Vinyl	singing
0.028403357336948598@CDs_and_Vinyl	musical
0.02751129847790558@CDs_and_Vinyl	sounds
0.02747849169560977@CDs_and_Vinyl	cds
0.0266753803552058@CDs_and_Vinyl	recordings
0.026152505994060098@CDs_and_Vinyl	recorded
0.02604973645417893@CDs_and_Vinyl	vocal
0.025815185036080723@CDs_and_Vinyl	disc
0.02531778136863447@CDs_and_Vinyl	jazz
0.024628375310867145@CDs_and_Vinyl	tunes
0.023809548831659505@CDs_and_Vinyl	hear
0.022607787626885607@CDs_and_Vinyl	singer
0.022209655932756416@CDs_and_Vinyl	sing
0.021942263832664146@CDs_and_Vinyl	solo
0.021575793180868965@CDs_and_Vinyl	bands
0.02106962739699154@CDs_and_Vinyl	blues
0.02100041457478701@CDs_and_Vinyl	catchy
0.020964827090071254@CDs_and_Vinyl	listened
0.020046410569581695@CDs_and_Vinyl	melodies
0.019972838279875994@CDs_and_Vinyl	hits
0.01922542941461221@CDs_and_Vinyl	concert
0.01918944540891324@CDs_and_Vinyl	fan
0.017635256663280235@CDs_and_Vinyl	pop
0.017165878932077036@CDs_and_Vinyl	instrumental
0.01716135055629975@CDs_and_Vinyl	release
0.016817424668011612@CDs_and_Vinyl	acoustic
0.0163350337367679@CDs_and_Vinyl	artists
