0.027096998332025026@Kindle_Store	book
0.02411772689090017@Kindle_Store	story
0.022824985052747042@Kindle_Store	read
0.012759149119260882@Kindle_Store	author
0.012212808222086863@Kindle_Store	characters
0.00832831804468378@Kindle_Store	series
0.007852798155493277@Kindle_Store	reading
0.006405608083849327@Kindle_Store	books
0.006354447415047671@Kindle_Store	romance
0.005961116661350006@Kindle_Store	enjoyed
0.00578124023576662@Kindle_Store	short
0.005669161380280772@Kindle_Store	kindle
0.005530808398994295@Kindle_Store	stories
0.004737558633515761@Kindle_Store	novella
0.004201594199837008@Kindle_Store	written
0.0037744138345118805@Kindle_Store	wait
0.0034729450856813026@Kindle_Store	ebook
0.003352915536085262@Kindle_Store	product
0.0030855450382887522@Kindle_Store	forward
0.003072099164217244@Kindle_Store	plot
0.002663945802080873@Kindle_Store	loved
0.0025723379070816546@Kindle_Store	character
0.0024984397875052085@Kindle_Store	writing
0.0024848934304124892@Kindle_Store	sex
0.0022765734906766166@Kindle_Store	steamy
0.0021880661755030784@Kindle_Store	errors
0.0020840404802632967@Kindle_Store	bought
0.0019797985647796@Kindle_Store	quality
0.001939784179631819@Kindle_Store	erotic
0.0019270084394688975@Kindle_Store	ending
0.00191643672740678@Kindle_Store	relationship
0.0018300148849407236@Kindle_Store	price
0.0016148245402452662@Kindle_Store	sexy
0.0016046987262347974@Kindle_Store	interesting
0.0015690797794945372@Kindle_Store	developed
0.0014887913723019624@Kindle_Store	fit
0.001461001761724677@Kindle_Store	wanting
0.0014339553299236598@Kindle_Store	sweet
0.0014316191185601106@Kindle_Store	believable
0.0013942964038340124@Kindle_Store	alpha
0.0013676203855778073@Kindle_Store	author's
0.0013571722438282113@Kindle_Store	finds
0.0013427263479563261@Kindle_Store	erotica
0.0013343106813584961@Kindle_Store	honest
0.0013190674305917477@Kindle_Store	works
0.001316920623336713@Kindle_Store	mystery
0.0013032560836641833@Kindle_Store	heroine
0.0012951127377590931@Kindle_Store	reader
0.0012605685165505607@Kindle_Store	woman
0.0012487233156728002@Kindle_Store	buy
0.0012449749074513968@Kindle_Store	fiction
0.0012386391740387488@Kindle_Store	authors
0.0011981451301468493@Kindle_Store	end
0.0011959915579952897@Kindle_Store	size
0.001186733341658996@Kindle_Store	life
0.0011855885611165781@Kindle_Store	felt
