0.06889861446701984@Baby	baby
0.0432976360290584@Baby	stroller
0.030591148365384242@Baby	crib
0.029399113610588102@Baby	diaper
0.01664457109562754@Baby	baby's
0.015989630859966474@Baby	seat
0.015862993102429154@Baby	newborn
0.015304447950642954@Baby	pacifiers
0.014857138215663219@Baby	sippy
0.014029539476833556@Baby	pacifier
0.014029539476833556@Baby	carseat
0.013310455358436247@Baby	nipple
0.01252584283200216@Baby	infant
0.011930751696680337@Baby	britax
0.011870847558706083@Baby	strollers
0.011769994310256247@Baby	diapers
0.010858500120961685@Baby	medela
0.010791542681588035@Baby	graco
0.00971226519104388@Baby	avent
0.00971226519104388@Baby	swaddle
0.009580671930370188@Baby	gate
0.009495990774338742@Baby	teething
0.00928657830772991@Baby	babies
0.00863301508603126@Baby	teether
0.008229589751816384@Baby	toddler
0.006474597028431453@Baby	highchair
0.006340233746874683@Baby	nursery
0.006244467179264538@Baby	naps
0.006153331476903697@Baby	daughter
0.006096036663961882@Baby	breast
0.005833847144768805@Baby	potty
0.005670516570429164@Baby	tub
0.005527997488256186@Baby	mam
0.005407571481797096@Baby	son
0.005333086330736351@Baby	blanket
0.00523470351459081@Baby	playtex
0.005143390129740376@Baby	latch
0.005089374434147034@Baby	bath
0.005080139329353087@Baby	bottles
0.004818084641536316@Baby	bassinet
0.004818084641536316@Baby	recline
0.004475128374656314@Baby	boppy
0.004475128374656314@Baby	reclined
0.004316288500450808@Baby	wubbanub
0.004316288500450808@Baby	soothie
0.004316288500450808@Baby	swaddling
0.004316288500450808@Baby	prefolds
0.004316288500450808@Baby	diapering
0.004316288500450808@Baby	teethers
0.004316288500450808@Baby	nuk
0.004307693975858495@Baby	feeding
0.004216036286653114@Baby	nipples
0.004117365099639087@Baby	blankets
0.004061050154291354@Baby	carrier
0.004033540011923588@Baby	breastfeeding
0.003986166801494855@Baby	bibs
0.003817812890096266@Baby	swaddled
0.0037633305143019526@Baby	month
0.0036316568199804074@Baby	months
0.0036296943236938293@Baby	toys
0.0034328060511903203@Baby	evenflo
0.0033248631660298673@Baby	outgrew
0.0032371753074623374@Baby	snugride
0.0032371753074623374@Baby	blankie
0.0032371753074623374@Baby	breastfed
0.0032371753074623374@Baby	sleepsacks
0.0032371753074623374@Baby	chicco
0.0032371753074623374@Baby	prefold
0.0032371753074623374@Baby	carseats
0.003050612101662483@Baby	book
0.003046322599761678@Baby	milk
0.002998308300811365@Baby	rattle
0.0029421114701060724@Baby	tray
0.002941490616873955@Baby	bib
0.0028452873193541032@Baby	chair
0.0028438670417773506@Baby	bouncer
0.002753033411454531@Baby	bottle
0.0026951436972524703@Baby	loves
0.0026884122153981753@Baby	wipes
0.0026326800854578553@Baby	toy
0.002619546568047388@Baby	seats
0.0024923232917321717@Baby	asleep
0.002467402809464643@Baby	child
0.0024232385710281083@Baby	latching
0.0024232385710281083@Baby	sacks
0.002408920073140082@Baby	squirmy
0.0023839383111124023@Baby	outgrown
0.0023473289338980944@Baby	sleeps
0.002334052313491459@Baby	convertible
0.002331444458223225@Baby	booster
0.002284265955742809@Baby	car
0.002188010731789136@Baby	infants
0.0021580894937523625@Baby	snappi
0.0021580894937523625@Baby	sleepsack
0.0021580894937523625@Baby	nuby
0.0021580894937523625@Baby	colicky
0.0021580894937523625@Baby	sippies
0.0021580894937523625@Baby	bumgenius
0.0021580894937523625@Baby	paci
0.0021580894937523625@Baby	oso
0.0021580894937523625@Baby	playard
0.0021580894937523625@Baby	crinkly
0.0021580894937523625@Baby	moniter
0.0021580894937523625@Baby	playards
0.0021078041883507686@Baby	newborns
0.0021078041883507686@Baby	percentile
0.0020601497787433097@Baby	cute
0.001979289322251722@Baby	straps
0.001956194992226617@Baby	washes
0.0019555554713953037@Baby	harness
0.0019120262081854145@Baby	munchkin
0.0019120262081854145@Baby	burp
0.0019120262081854145@Baby	washcloths
0.0018866139236568865@Baby	safe
0.0017705810092169523@Baby	pump
0.0017458006445217145@Baby	pillow
0.0017203802880718336@Baby	leaks
0.0016732225574205748@Baby	soft
0.001666284786028435@Baby	ergo
0.0016471775125776608@Baby	leak
0.0016002032244140524@Baby	bpa
0.0015943619494289108@Baby	warmer
0.0015808130297945643@Baby	lactation
0.0015808130297945643@Baby	squirm
0.0015808130297945643@Baby	reclining
0.0015745628343717345@Baby	read
0.0015367665275065655@Baby	sleep
0.0014918726432237533@Baby	bag
0.0014848031508171552@Baby	gates
0.0014544848096262563@Baby	wash
0.00144070206548471@Baby	latches
0.00144070206548471@Baby	fussy
0.0014360530093600553@Baby	mouth
0.0014272654833893464@Baby	cloth
0.0014229085301974437@Baby	easy
0.0014218794042195222@Baby	phew
0.0014218794042195222@Baby	soother
0.0014218794042195222@Baby	bathtime
0.0014218794042195222@Baby	banister
0.0014218794042195222@Baby	grandbaby
0.0014218794042195222@Baby	colic
0.0014218794042195222@Baby	binkies
0.0014218794042195222@Baby	bouncers
0.0014218794042195222@Baby	bugaboo
0.0014218794042195222@Baby	maclaren
0.0014218794042195222@Baby	roundabout
0.0014218794042195222@Baby	cobblestone
0.0014218794042195222@Baby	combi
0.0013759376486246013@Baby	monkey
0.001344274531051712@Baby	climbs
0.0013248109046340986@Baby	sturdy
0.0012892021502830362@Baby	mommy
0.0012892021502830362@Baby	tummy
0.0012682051419737525@Baby	basket
0.0012481306077592835@Baby	monitor
0.0012453865516715258@Baby	straw
0.0012104076575034344@Baby	strap
0.0011740765505820411@Baby	room
0.001166907708499019@Baby	cupholder
0.001166907708499019@Baby	toilets
0.001154828953383336@Baby	mattress
0.001135785482845941@Baby	pad
0.001133740462055523@Baby	cloths
0.0011203843528611768@Baby	sit
0.0011162432376080503@Baby	parent
0.0010885721415794202@Baby	born
0.0010803603652934813@Baby	safety
0.001079031058278895@Baby	rocking/crying
0.001079031058278895@Baby	bundleme
0.001079031058278895@Baby	eurotub
0.001079031058278895@Baby	itselfweights
0.001079031058278895@Baby	cold/hot
0.001079031058278895@Baby	platex
0.001079031058278895@Baby	evening's
0.001079031058278895@Baby	perchas
0.001079031058278895@Baby	couponbabies
0.001079031058278895@Baby	pouchpop's
0.001079031058278895@Baby	babiesrus
0.001079031058278895@Baby	dsughter
0.001079031058278895@Baby	need/be
0.001079031058278895@Baby	uglyit
0.001079031058278895@Baby	matteress
0.001079031058278895@Baby	sopora
0.001079031058278895@Baby	insulatedi
0.001079031058278895@Baby	lolit
0.001079031058278895@Baby	carpooling
0.001079031058278895@Baby	softer/worn
0.001079031058278895@Baby	welp
0.001079031058278895@Baby	secuirty
0.001079031058278895@Baby	snugli
0.001079031058278895@Baby	snugglider
0.001079031058278895@Baby	squirmer
0.001079031058278895@Baby	cracking/breaking/bending
0.001079031058278895@Baby	pognae
0.001079031058278895@Baby	diapers/wraps
0.001079031058278895@Baby	wastage
0.001079031058278895@Baby	awayfolds
0.001079031058278895@Baby	maek
0.001079031058278895@Baby	zonk
0.001079031058278895@Baby	nontraditional
