0.09989194313173348@Beauty	hair
0.06849549481240538@Beauty	skin
0.029351308255006515@Beauty	lotion
0.028795581356978434@Beauty	scent
0.028170512980968496@Beauty	shampoo
0.02768115835914981@Beauty	smells
0.022612550810837916@Beauty	conditioner
0.019443214282478152@Beauty	product
0.01837767543200013@Beauty	dry
0.017295497808641747@Beauty	fragrance
0.01728280819682497@Beauty	smell
0.016415275493497746@Beauty	oily
0.015819774131608462@Beauty	perfume
0.015044615500086643@Beauty	moisturizer
0.013986417669079246@Beauty	curly
0.012972840616488249@Beauty	acne
0.012680842822117446@Beauty	greasy
0.011591999661491777@Beauty	makeup
0.011431865846395778@Beauty	polish
0.010985541507931917@Beauty	curls
0.010769044757900414@Beauty	lashes
0.010691486183827386@Beauty	brush
0.010673396623975512@Beauty	salon
0.01062666689369233@Beauty	mascara
0.010147872617505369@Beauty	frizzy
0.009669350743813497@Beauty	tanning
0.009632971465199982@Beauty	frizz
0.008998651650811746@Beauty	serum
0.008998651650811746@Beauty	cleanser
0.008822661328592945@Beauty	products
0.00866846083256007@Beauty	moisturizing
0.008514883104402977@Beauty	cream
0.008487452346207328@Beauty	bottle
0.008360304531238328@Beauty	scalp
0.008123692733848121@Beauty	nail
0.007751318907002525@Beauty	cologne
0.007318063432558987@Beauty	book
0.007253657033352039@Beauty	curl
0.006930512281213011@Beauty	shiny
0.0068844363791718014@Beauty	lipstick
0.006873762069874708@Beauty	dryer
0.006636621095629111@Beauty	face
0.006230955597788392@Beauty	perfumes
0.006219305123584013@Beauty	nails
0.006060815987927552@Beauty	gel
0.0059637509339471005@Beauty	comb
0.0059584702830419506@Beauty	pores
0.0059584702830419506@Beauty	complexion
0.0057914516515340485@Beauty	spf
0.0057914516515340485@Beauty	fragrances
0.005780436183253133@Beauty	opi
0.005675071542658588@Beauty	drying
0.005625026479540661@Beauty	shampoos
0.005599815805913473@Beauty	brushes
0.005432197053917876@Beauty	redness
0.005298665940531863@Beauty	straightener
0.00506833449763045@Beauty	curling
0.00487128276239417@Beauty	oil
0.004711689734573539@Beauty	eyelashes
0.004711689734573539@Beauty	moisturized
0.004356025036447924@Beauty	hydrating
0.00433516212879468@Beauty	concealer
0.00433516212879468@Beauty	eyeliner
0.004297327020090639@Beauty	soap
