0.057042092@Cell_Phones_and_Accessorie	iphone
0.029676052@Cell_Phones_and_Accessorie	screen
0.025794867@Cell_Phones_and_Accessorie	protector
0.01759436@Cell_Phones_and_Accessorie	galaxy
0.016830912@Cell_Phones_and_Accessorie	otterbox
0.016167076@Cell_Phones_and_Accessorie	charge
0.014020856@Cell_Phones_and_Accessorie	fits
0.013973404@Cell_Phones_and_Accessorie	phones
0.013774435@Cell_Phones_and_Accessorie	protection
0.0127323335@Cell_Phones_and_Accessorie	book
0.012113326@Cell_Phones_and_Accessorie	samsung
0.0120141655@Cell_Phones_and_Accessorie	charging
0.011683049@Cell_Phones_and_Accessorie	cases
0.011147405@Cell_Phones_and_Accessorie	dropped
0.010457828@Cell_Phones_and_Accessorie	protects
0.01020281@Cell_Phones_and_Accessorie	htc
0.009963337@Cell_Phones_and_Accessorie	protectors
0.0074794483@Cell_Phones_and_Accessorie	bluetooth
0.0074655525@Cell_Phones_and_Accessorie	cell
0.007330183@Cell_Phones_and_Accessorie	headset
0.007075526@Cell_Phones_and_Accessorie	verizon
0.0069246385@Cell_Phones_and_Accessorie	otter
0.0063047013@Cell_Phones_and_Accessorie	read
0.006110753@Cell_Phones_and_Accessorie	bubbles
0.005890343@Cell_Phones_and_Accessorie	bulky
0.005779814@Cell_Phones_and_Accessorie	buttons
0.0057560755@Cell_Phones_and_Accessorie	motorola
0.0056509273@Cell_Phones_and_Accessorie	droid
0.0055974284@Cell_Phones_and_Accessorie	stylus
0.005587951@Cell_Phones_and_Accessorie	product
0.005416452@Cell_Phones_and_Accessorie	cover
0.005391478@Cell_Phones_and_Accessorie	protect
0.0049658213@Cell_Phones_and_Accessorie	nokia
0.0049021025@Cell_Phones_and_Accessorie	charges
0.0048757205@Cell_Phones_and_Accessorie	pocket
0.0046830704@Cell_Phones_and_Accessorie	blackberry
0.0046473634@Cell_Phones_and_Accessorie	kickstand
0.004564186@Cell_Phones_and_Accessorie	story
0.004464142@Cell_Phones_and_Accessorie	rubber
0.0043261237@Cell_Phones_and_Accessorie	protected
0.0042950087@Cell_Phones_and_Accessorie	protective
0.0042078733@Cell_Phones_and_Accessorie	lg
0.0041155606@Cell_Phones_and_Accessorie	chargers
